烟花_舟山,,,,,,,
时间1,实测,时间2,Time10,Time15,Time20,Time25,Time30
2021/7/21 0:00,3.29643,2021/7/15 8:00,0.02967,0.030243803,0.03139141,0.028809295,0.030243803
2021/7/21 1:00,3.01964,2021/7/15 9:00,0.06241,0.060383333,0.056329999,0.065450001,0.060383333
2021/7/21 2:00,3.44618,2021/7/15 10:00,0.09555,0.093837588,0.090412763,0.098118619,0.093837588
2021/7/21 3:00,3.04686,2021/7/15 11:00,0.12248,0.12119395,0.118621849,0.124409075,0.12119395
2021/7/21 4:00,3.26921,2021/7/15 12:00,0.14412,0.143103248,0.141069745,0.145645127,0.143103248
2021/7/21 5:00,3.04686,2021/7/15 13:00,0.16777,0.160351838,0.145515514,0.178897243,0.160351838
2021/7/21 6:00,2.84721,2021/7/15 14:00,0.18873,0.185469538,0.178948615,0.193620693,0.185469538
2021/7/21 7:00,3.44618,2021/7/15 15:00,0.21399,0.20633156,0.191014681,0.22547766,0.20633156
2021/7/21 8:00,3.26921,2021/7/15 16:00,0.24336,0.237236396,0.224989189,0.252545405,0.237236396
2021/7/21 9:00,3.26921,2021/7/15 17:00,0.27467,0.263869836,0.242269509,0.290870246,0.263869836
2021/7/21 10:00,3.29643,2021/7/15 18:00,0.30654,0.30117376,0.290441281,0.31458936,0.30117376
2021/7/21 11:00,3.06955,2021/7/15 19:00,0.34193,0.3338469,0.317680699,0.354054651,0.3338469
2021/7/21 12:00,3.49609,2021/7/15 20:00,0.37019,0.355785042,0.326975127,0.391797436,0.355785042
2021/7/21 13:00,3.09678,2021/7/15 21:00,0.40189,0.389630082,0.365110246,0.420279877,0.389630082
2021/7/21 14:00,3.26921,2021/7/15 22:00,0.42867,0.441040488,0.465781464,0.410114268,0.441040488
2021/7/21 15:00,2.94703,2021/7/15 23:00,0.45516,0.456428297,0.45896489,0.453257555,0.456428297
2021/7/21 16:00,2.81998,2021/7/16 0:00,0.48359,0.496001472,0.520824416,0.464972792,0.496001472
2021/7/21 17:00,3.09678,2021/7/16 1:00,0.52239,0.534965436,0.560116307,0.503526846,0.534965436
2021/7/21 18:00,3.26921,2021/7/16 2:00,0.56486,0.537686751,0.483340252,0.605619874,0.537686751
2021/7/21 19:00,3.42349,2021/7/16 3:00,0.60032,0.607755873,0.622627618,0.589166191,0.607755873
2021/7/21 20:00,3.14669,2021/7/16 4:00,0.61564,0.613086926,0.607980777,0.619469612,0.613086926
2021/7/21 21:00,3.39626,2021/7/16 5:00,0.62006,0.590530703,0.531472109,0.664353946,0.590530703
2021/7/21 22:00,3.26921,2021/7/16 6:00,0.60893,0.585831355,0.539634065,0.643577968,0.585831355
2021/7/22 0:00,3.42349,2021/7/16 7:00,0.58174,0.578539625,0.572138876,0.586540562,0.578539625
2021/7/22 1:00,3.64584,2021/7/16 8:00,0.54875,0.533442613,0.50282784,0.57171108,0.533442613
2021/7/22 2:00,3.89541,2021/7/16 9:00,0.51937,0.510409456,0.492488369,0.532810816,0.510409456
2021/7/22 3:00,3.21929,2021/7/16 10:00,0.49695,0.495481239,0.492543716,0.499153142,0.495481239
2021/7/22 4:00,3.4734,2021/7/16 11:00,0.47643,0.482507111,0.494661332,0.467314334,0.482507111
2021/7/22 5:00,3.26921,2021/7/16 12:00,0.45949,0.459888744,0.460686233,0.458891884,0.459888744
2021/7/22 6:00,3.06955,2021/7/16 13:00,0.44536,0.446555109,0.448945328,0.443567336,0.446555109
2021/7/22 7:00,3.52332,2021/7/16 14:00,0.43287,0.434973558,0.439180673,0.429714664,0.434973558
2021/7/22 8:00,3.52332,2021/7/16 15:00,0.42188,0.421145469,0.419676408,0.422981796,0.421145469
2021/7/22 9:00,3.57323,2021/7/16 16:00,0.40934,0.389075197,0.348545591,0.439737205,0.389075197
2021/7/22 10:00,4.14952,2021/7/16 17:00,0.40071,0.381232524,0.342277572,0.429926214,0.381232524
2021/7/22 11:00,3.92263,2021/7/16 18:00,0.3995,0.383929895,0.352789685,0.422855158,0.383929895
2021/7/22 12:00,3.39626,2021/7/16 19:00,0.42101,0.400421872,0.359245615,0.451892193,0.400421872
2021/7/22 13:00,3.62315,2021/7/16 20:00,0.45005,0.436286946,0.408760838,0.470694581,0.436286946
2021/7/22 14:00,3.54601,2021/7/16 21:00,0.47485,0.484701052,0.504403156,0.460073422,0.484701052
2021/7/22 15:00,3.19661,2021/7/16 22:00,0.48966,0.487165084,0.482175251,0.493402374,0.487165084
2021/7/22 16:00,3.37358,2021/7/16 23:00,0.49328,0.491361345,0.487524034,0.496157983,0.491361345
2021/7/22 17:00,3.31912,2021/7/17 0:00,0.50439,0.507224562,0.512893685,0.500138158,0.507224562
2021/7/22 18:00,3.24652,2021/7/17 1:00,0.51562,0.530316943,0.55971083,0.493574585,0.530316943
2021/7/22 19:00,2.81998,2021/7/17 2:00,0.5156,0.495571058,0.455513175,0.545643413,0.495571058
2021/7/22 20:00,3.86989,2021/7/17 3:00,0.51559,0.521635521,0.533726564,0.506521718,0.521635521
2021/7/22 21:00,4.06955,2021/7/17 4:00,0.51406,0.522797648,0.540272943,0.500953529,0.522797648
2021/7/22 22:00,4.14669,2021/7/17 5:00,0.51159,0.499021813,0.473885438,0.530442281,0.499021813
2021/7/22 23:00,4.11929,2021/7/17 6:00,0.50575,0.504934174,0.503302522,0.506973739,0.504934174
2021/7/22 23:30,3.29643,2021/7/17 7:00,0.50555,0.481528692,0.433486077,0.541581961,0.481528692
2021/7/23 0:00,3.65721,2021/7/17 8:00,0.50773,0.520935956,0.547347868,0.487921066,0.520935956
2021/7/23 1:00,3.61954,2021/7/17 9:00,0.51443,0.520153379,0.531600137,0.505844931,0.520153379
2021/7/23 2:00,3.48773,2021/7/17 10:00,0.51601,0.527972185,0.551896554,0.498066723,0.527972185
2021/7/23 3:00,3.41241,2021/7/17 11:00,0.51671,0.505451968,0.482935904,0.533597048,0.505451968
2021/7/23 4:00,3.24293,2021/7/17 12:00,0.51684,0.501766823,0.471620468,0.539449766,0.501766823
2021/7/23 5:00,4.12601,2021/7/17 13:00,0.5177,0.512144157,0.501032472,0.526033764,0.512144157
