烟花_台州,,,,,,,
时间1,实测,时间2,Time10,Time15,Time20,Time25,Time30
2021/7/21 0:00,2.71364,2021/7/15 8:00,0.02078,0.020126463,0.019472926,0.022012881,0.022666418
2021/7/21 1:00,2.95662,2021/7/15 9:00,0.03564,0.036159133,0.036678266,0.037959913,0.03744078
2021/7/21 2:00,3.12016,2021/7/15 10:00,0.05545,0.055534923,0.055619846,0.059610604,0.059525681
2021/7/21 3:00,3.27902,2021/7/15 11:00,0.0756,0.076239638,0.076879276,0.083023411,0.082383773
2021/7/21 4:00,3.06408,2021/7/15 12:00,0.09607,0.093394912,0.090719823,0.097188877,0.099863965
2021/7/21 5:00,2.98465,2021/7/15 13:00,0.11759,0.112345582,0.107101163,0.113424079,0.118668497
2021/7/21 6:00,3.27902,2021/7/15 14:00,0.13715,0.138050731,0.138951462,0.14819636,0.147295629
2021/7/21 7:00,3.57339,2021/7/15 15:00,0.15414,0.157886404,0.161632807,0.1615048,0.157758396
2021/7/21 8:00,3.6575,2021/7/15 16:00,0.17493,0.171880687,0.168831373,0.176580978,0.179630291
2021/7/21 9:00,3.76497,2021/7/15 17:00,0.20098,0.197738152,0.194496305,0.195211296,0.198453144
2021/7/21 10:00,3.95187,2021/7/15 18:00,0.22521,0.223751467,0.222292934,0.239789298,0.241247831
2021/7/21 11:00,3.81637,2021/7/15 19:00,0.25334,0.254442699,0.255545397,0.257862957,0.256760258
2021/7/21 12:00,3.60143,2021/7/15 20:00,0.27905,0.266411325,0.253772649,0.279665471,0.292304146
2021/7/21 13:00,3.57339,2021/7/15 21:00,0.30247,0.298457005,0.294444011,0.294598619,0.298611614
2021/7/21 14:00,3.57339,2021/7/15 22:00,0.327,0.315417017,0.303834033,0.302402935,0.313985918
2021/7/21 15:00,3.73693,2021/7/15 23:00,0.35217,0.338321673,0.324473346,0.341169234,0.355017561
2021/7/21 16:00,4.13877,2021/7/16 0:00,0.38327,0.36659972,0.34992944,0.373403373,0.390073653
2021/7/21 17:00,4.13877,2021/7/16 1:00,0.41852,0.420912144,0.423304289,0.403967382,0.401575238
2021/7/21 18:00,3.68086,2021/7/16 2:00,0.46231,0.468955311,0.475600623,0.478098021,0.47145271
2021/7/21 19:00,3.60143,2021/7/16 3:00,0.50049,0.49929895,0.498107899,0.493447616,0.494638666
2021/7/21 20:00,3.76497,2021/7/16 4:00,0.52579,0.527686996,0.529583992,0.511309444,0.509412448
