灿鸿_温州,,,,,,,
时间1,实测,时间2,Time10,Time15,Time20,Time25,Time30
2021/7/8 1:00,1.70034,2021/7/7 1:00,1.305105,1.305105,1.364852038,1.250789511,1.359420489
2021/7/8 2:00,1.84456,2021/7/7 2:00,1.38411,1.38411,1.38867787,1.379957391,1.388262609
2021/7/8 3:00,2.04233,2021/7/7 3:00,1.46178,1.46178,1.415110008,1.504207265,1.419352735
2021/7/8 4:00,2.21539,2021/7/7 4:00,1.537755,1.537755,1.492175318,1.579191075,1.496318925
2021/7/8 5:00,2.5821,2021/7/7 5:00,1.60968,1.60968,1.663243007,1.560986358,1.658373642
2021/7/8 6:00,2.55738,2021/7/7 6:00,1.678335,1.678335,1.677641577,1.678965385,1.677704615
2021/7/8 7:00,2.38432,2021/7/7 7:00,1.741545,1.741545,1.82197321,1.668428446,1.814661554
2021/7/8 8:00,2.26483,2021/7/7 8:00,1.7889,1.7889,1.759021457,1.816062311,1.761737689
2021/7/8 9:00,2.21539,2021/7/7 9:00,1.824615,1.824615,1.773988137,1.870639421,1.778590579
2021/7/8 10:00,2.40905,2021/7/7 10:00,1.858605,1.858605,1.812379057,1.900628584,1.816581416
2021/7/8 11:00,2.45849,2021/7/7 11:00,1.88403,1.88403,1.946557136,1.827187149,1.940872851
2021/7/8 12:00,2.5821,2021/7/7 12:00,1.896765,1.896765,1.998493602,1.804284453,1.989245547
2021/7/8 13:00,2.68099,2021/7/7 13:00,1.882095,1.882095,1.979243838,1.793777874,1.970412126
2021/7/8 14:00,2.97354,2021/7/7 14:00,1.86468,1.86468,1.841270659,1.885961219,1.843398781
2021/7/8 15:00,2.97354,2021/7/7 15:00,1.862565,1.862565,1.962416524,1.771790887,1.953339113
2021/7/8 16:00,3.12187,2021/7/7 16:00,1.88148,1.88148,1.925487523,1.841473161,1.921486839
2021/7/8 17:00,3.41854,2021/7/7 17:00,1.91967,1.91967,1.858734459,1.975065947,1.864274053
2021/7/8 18:00,3.2702,2021/7/7 18:00,1.99116,1.99116,1.945997057,2.032217221,1.950102779
2021/7/8 19:00,2.87877,2021/7/7 19:00,2.05566,2.05566,2.158599694,1.96207846,2.14924154
2021/7/8 20:00,2.77988,2021/7/7 20:00,2.11218,2.11218,2.183257121,2.047564436,2.176795564
2021/7/8 21:00,2.339,2021/7/7 21:00,2.165565,2.165565,2.15408646,2.176000037,2.155129963
